,City,Country,Date,Latitude,Longitude,Maximum Temperature,Wind Speed,Humidity,Cloudiness
382,pinawa,CA,1605238363,50.15,-95.88,12.72,4.59,92,61
383,beringovskiy,RU,1605238363,63.05,179.32,22.5,16.82,97,100
384,saquena,PE,1605238364,-4.67,-73.52,71.67,1.86,96,100
385,lake city,US,1605238364,30.19,-82.64,69.8,5.82,94,1
386,alice springs,AU,1605238251,-23.7,133.88,98.6,5.82,6,0
387,warren,US,1605238364,39.43,-84.17,41.0,4.7,86,1
388,nha trang,VN,1605238365,12.25,109.18,87.8,12.75,52,20
389,najran,SA,1605238365,17.49,44.13,59.0,2.33,47,0
390,anloga,GH,1605238365,5.79,0.9,78.8,3.36,88,20
391,college,US,1605238365,64.86,-147.8,12.0,1.21,84,40
392,abu dhabi,AE,1605238188,24.47,54.37,78.8,4.7,54,0
393,mount gambier,AU,1605238262,-37.83,140.77,62.6,18.34,67,75
394,karratha,AU,1605238296,-20.74,116.85,96.66,16.78,19,0
395,rabo de peixe,PT,1605238366,37.8,-25.58,59.0,3.36,77,40
396,kharan,PK,1605238366,28.58,65.42,70.74,5.79,26,1
397,jember,ID,1605238300,-8.17,113.7,89.4,5.03,62,24
398,mount pleasant,US,1605238366,32.79,-79.86,70.0,12.75,94,90
399,buraydah,SA,1605238367,26.33,43.98,66.2,16.11,100,40
400,laela,TZ,1605238367,-8.57,32.05,66.07,1.61,79,95
401,comodoro rivadavia,AR,1605238367,-45.87,-67.5,64.4,13.87,36,0
402,la mana,EC,1605238367,-0.93,-79.22,71.08,0.96,70,84
403,vangaindrano,MG,1605238368,-23.35,47.6,73.44,9.24,88,23
404,sarangani,PH,1605238368,5.4,125.46,84.27,15.52,77,47
405,stokmarknes,NO,1605238368,68.56,14.91,45.0,4.0,78,100
406,praia,CV,1605238368,14.92,-23.51,77.0,10.29,73,0
407,ulaanbaatar,MN,1605238224,47.91,106.88,30.2,2.24,42,0
408,amparafaravola,MG,1605238369,-17.58,48.22,73.58,2.17,68,37
409,mokrous,RU,1605238369,51.23,47.52,25.72,10.25,97,37
410,brainerd,US,1605238102,46.36,-94.2,24.01,8.05,62,90
411,buenos aires,AR,1605238369,-34.61,-58.38,69.01,13.87,82,40
412,statesville,US,1605238370,35.78,-80.89,62.6,5.82,100,90
413,odweyne,SO,1605238370,9.41,45.06,68.54,7.4,34,68
414,kenora,CA,1605238092,49.82,-94.43,17.6,6.93,85,90
415,dzilam gonzalez,MX,1605238370,21.28,-88.93,74.64,3.47,96,38
416,novikovo,RU,1605238370,51.15,37.89,29.7,2.1,94,0
417,nobres,BR,1605238371,-14.72,-56.33,73.51,1.07,86,46
418,lorengau,PG,1605238371,-2.02,147.27,85.71,7.16,67,99
419,hargeysa,SO,1605238371,9.56,44.06,59.4,12.39,88,26
420,shahrud,IR,1605238371,36.42,54.98,42.6,8.46,64,98
421,kampot,KH,1605238372,10.62,104.18,86.0,9.17,62,20
422,praya,CV,1605238262,14.92,-23.51,77.0,10.29,73,0
423,thayetmyo,MM,1605238372,19.32,95.18,82.65,7.94,65,0
424,manakara,MG,1605238372,-22.13,48.02,73.22,3.09,87,30
425,namatanai,PG,1605238372,-3.67,152.43,84.09,5.28,73,64
426,florianopolis,BR,1605238261,-27.61,-48.5,71.6,2.8,100,75
427,itacare,BR,1605238373,-14.28,-39.0,80.6,6.93,78,40
428,alofi,NU,1605238373,-19.06,-169.92,84.2,11.41,66,75
429,lakes entrance,AU,1605238373,-37.88,147.98,69.01,5.01,66,14
430,trincomalee,LK,1605238373,8.57,81.23,83.75,12.01,78,85
431,aranos,NA,1605238374,-24.13,19.12,69.4,10.85,59,0
432,oussouye,SN,1605238354,12.48,-16.55,73.4,2.24,94,0
433,gizo,SB,1605238374,-8.1,156.84,83.05,1.59,71,91
434,savonlinna,FI,1605238374,61.87,28.88,39.2,3.36,80,90
435,ambovombe,MG,1605238375,-25.17,46.08,71.53,10.6,73,35
436,lagunas,PE,1605238375,-5.23,-75.68,72.39,1.19,91,100
437,wana,PK,1605238375,32.3,69.57,61.3,1.57,30,2
438,khromtau,KZ,1605238375,50.25,58.43,22.68,17.63,94,98
439,salalah,OM,1605238156,17.02,54.09,73.49,2.86,70,1
440,manicore,BR,1605238376,-5.81,-61.3,77.0,2.24,100,0
441,bogorodsk,RU,1605238376,56.1,43.52,30.2,11.18,92,40
442,talnakh,RU,1605238376,69.49,88.4,-7.6,24.61,83,4
443,halifax,CA,1605238234,44.65,-63.57,48.2,6.93,93,100
444,biak,ID,1605238377,-0.91,122.88,86.67,2.17,62,4
445,gogrial,SS,1605238377,8.53,28.1,73.62,4.41,43,2
446,altay,CN,1605238377,47.87,88.12,38.01,1.16,78,100
447,zeya,RU,1605238377,53.75,127.27,29.43,3.27,87,0
448,katherine,AU,1605238378,-14.47,132.27,96.8,17.22,30,0
449,marrakesh,MA,1605238332,31.63,-8.01,60.8,12.75,82,75
450,shu,KZ,1605238378,43.6,73.76,36.0,1.01,81,92
451,babylon,US,1605238378,40.7,-73.33,48.99,8.05,87,90
452,egvekinot,RU,1605238379,66.32,-179.17,14.14,19.55,93,100
453,ossora,RU,1605238379,59.24,163.07,22.19,4.25,83,20
454,yuanping,CN,1605238379,38.72,112.76,53.1,4.52,40,25
455,cayenne,GF,1605238205,4.93,-52.33,77.0,2.24,100,75
456,mokhsogollokh,RU,1605238379,61.47,128.92,21.18,2.33,97,100
457,campbell river,CA,1605238202,50.02,-125.24,39.2,5.82,100,90
458,prainha,BR,1605238380,-1.8,-53.48,76.98,4.36,81,11
459,omboue,GA,1605238380,-1.57,9.26,75.78,5.1,90,98
460,tarko-sale,RU,1605238368,64.92,77.78,-7.01,8.77,83,94
461,peniche,PT,1605238262,39.36,-9.38,60.01,3.0,86,99
462,meadow lake,US,1605238381,34.8,-106.54,46.4,1.36,22,75
463,gushikawa,JP,1605238381,26.35,127.87,75.2,20.8,69,75
464,berbera,SO,1605238381,10.44,45.01,78.03,6.98,64,29
465,bilma,NE,1605238381,18.69,12.92,68.32,9.15,32,0
466,saint-leu,RE,1605238381,-21.15,55.28,77.0,3.36,57,0
467,kasane,BW,1605238382,-17.82,25.15,68.76,7.74,74,72
468,mongo,TD,1605238382,12.18,18.69,77.47,7.76,26,56
469,muzhi,RU,1605238382,65.37,64.67,-3.98,4.92,92,94
470,arona,ES,1605238382,28.1,-16.68,71.01,8.05,83,0
471,palm valley,US,1605238268,30.18,-81.39,75.0,1.99,1,5
472,coihaique,CL,1605238187,-45.58,-72.07,48.2,1.12,87,90
473,izumo,JP,1605238383,35.37,132.77,62.6,4.7,67,20
474,shaunavon,CA,1605238383,49.65,-108.42,14.0,9.17,85,100
475,morehead,US,1605238383,37.27,-87.18,42.8,3.33,86,1
476,nicoya,CR,1605238203,10.15,-85.45,77.0,3.36,100,0
477,uyemskiy,RU,1605238384,64.47,40.85,33.8,8.95,100,90
478,ibra,OM,1605238384,22.69,58.53,74.03,1.16,28,0
479,kumluca,TR,1605238384,36.37,30.29,63.97,4.61,54,0
480,acari,PE,1605238384,-15.43,-74.62,63.81,2.93,68,74
481,severnyy,RU,1605238385,50.68,36.55,23.0,2.24,100,0
482,road town,VG,1605238221,18.42,-64.62,80.01,15.01,83,55
483,eston,CA,1605238385,51.15,-108.75,21.2,16.11,85,75
484,samsun,TR,1605238386,41.25,36.33,39.2,2.24,93,0
485,namibe,AO,1605238386,-15.2,12.15,71.22,5.12,79,58
486,sadove,UA,1605238386,46.25,30.18,48.2,8.95,66,0
487,san roque,ES,1605238386,36.21,-5.38,64.4,11.41,93,92
488,nemuro,JP,1605238386,43.32,145.57,51.8,10.29,62,75
489,den helder,NL,1605238387,52.96,4.76,46.99,10.29,93,90
490,grand-santi,GF,1605238387,4.25,-54.38,73.81,2.89,97,41
491,dongsheng,CN,1605238387,39.82,109.98,48.45,14.65,51,78
492,terre haute,US,1605238154,39.47,-87.41,41.0,4.47,64,75
493,yarada,IN,1605238387,17.65,83.27,84.2,5.82,51,40
494,candolim,IN,1605238388,15.52,73.76,78.8,5.82,78,20
495,turbat,PK,1605238349,26.0,63.04,79.09,3.71,27,0
496,hisar,IN,1605238388,29.17,75.72,74.88,0.92,22,0
497,chkalovskoye,RU,1605238388,44.84,133.04,37.83,15.82,74,97
498,capinopolis,BR,1605238388,-18.68,-49.57,75.51,2.62,70,100
499,ugoofaaru,MV,1605238389,5.67,73.0,82.71,5.48,69,99
500,muli,MV,1605238389,2.92,73.57,82.96,7.47,73,100
501,loei,TH,1605238389,17.42,101.5,80.6,3.36,54,0
502,srednekolymsk,RU,1605238389,67.45,153.68,-12.77,3.22,89,99
503,kollam,IN,1605238389,8.88,76.6,80.6,5.46,100,90
504,sao filipe,CV,1605238390,14.9,-24.5,80.82,3.22,60,0
505,gat,IL,1605238141,31.61,34.76,64.0,4.7,82,20
506,henties bay,NA,1605238390,-22.12,14.28,60.01,6.08,89,19
507,baherden,TM,1605238390,38.44,57.43,43.54,3.83,58,33
508,opuwo,NA,1605238300,-18.06,13.84,69.42,5.06,70,100
509,nabire,ID,1605238391,-3.37,135.48,87.24,7.02,63,96
510,buritis,BR,1605238097,-15.62,-46.42,73.08,1.97,84,100
511,novaya mayna,RU,1605238391,54.15,49.75,32.0,13.42,94,90
512,neiafu,TO,1605238391,-18.65,-173.98,80.6,9.17,83,75
513,buluang,PH,1605238392,13.31,123.34,88.54,3.69,62,21
514,veraval,IN,1605238392,20.9,70.37,80.67,11.27,35,0
515,chauk,MM,1605238392,20.88,94.82,83.01,11.61,59,0
516,alta floresta,BR,1605238384,-9.88,-56.09,70.63,3.33,96,100
517,maues,BR,1605238392,-3.38,-57.72,78.69,2.51,76,74
518,chernyshevskiy,RU,1605238392,63.01,112.47,20.62,9.93,97,99
519,kalmunai,LK,1605238393,7.42,81.82,84.61,4.65,71,71
520,sault sainte marie,CA,1605238269,46.52,-84.33,42.8,3.36,75,90
521,san jeronimo,PE,1605238393,-11.95,-75.28,51.51,0.74,71,100
522,excelsior springs,US,1605238393,39.34,-94.23,36.0,9.17,80,90
523,sovetskaya,RU,1605238394,44.78,41.17,25.59,6.89,98,25
524,jaroslaw,PL,1605238394,50.02,22.68,42.01,5.61,97,97
525,maragogi,BR,1605238394,-9.01,-35.22,75.29,7.38,83,1
526,panjakent,TJ,1605238394,39.5,67.61,39.2,4.7,86,75
527,caraballeda,VE,1605238394,10.61,-66.85,78.8,4.7,88,20
528,tolstoy-yurt,RU,1605238395,43.44,45.77,24.8,4.47,79,0
529,blagoveshchensk,RU,1605238395,50.27,127.53,37.4,11.18,44,0
530,tual,ID,1605238395,-5.67,132.75,83.86,4.85,71,99
531,bayir,TR,1605238395,37.27,28.22,48.2,3.36,93,0
532,vila nova de milfontes,PT,1605238396,37.72,-8.78,60.01,8.99,83,99
533,cabedelo,BR,1605238396,-6.98,-34.83,75.2,4.7,88,20
534,aykhal,RU,1605238396,66.0,111.5,12.2,6.71,92,90
535,gairo,IT,1605238396,39.85,9.5,60.8,8.05,82,20
536,onega,RU,1605238397,63.91,38.14,36.64,7.27,95,100
537,jinchang,CN,1605238397,38.5,102.17,49.05,3.11,46,10
538,kashan,IR,1605238397,33.98,51.44,51.66,4.52,77,97
539,neyshabur,IR,1605238398,36.21,58.8,45.86,2.73,67,100
540,bac lieu,VN,1605238398,9.29,105.72,83.98,7.87,74,100
541,nanyamba,TZ,1605238398,-10.68,39.83,74.79,2.77,87,88
542,okhotsk,RU,1605238289,59.38,143.3,14.49,7.83,88,100
543,cartagena,CO,1605238204,10.4,-75.51,82.4,4.7,88,40
544,mabaruma,GY,1605238398,8.2,-59.78,74.07,2.77,98,47
545,emba,KZ,1605238399,48.83,58.14,25.48,12.62,91,83
546,matara,LK,1605238399,5.95,80.54,85.91,2.95,65,47
547,olafsvik,IS,1605238399,64.89,-23.71,37.8,18.14,95,99
548,basco,PH,1605238399,20.45,121.97,78.76,21.0,87,88
549,nunchia,CO,1605238400,5.64,-72.2,72.93,4.47,87,100
550,broome,US,1605238400,42.25,-75.83,32.0,5.82,90,1
551,bowmore,US,1605238400,34.94,-79.3,66.2,6.93,88,90
552,getulio vargas,UY,1605238400,-32.68,-53.55,65.3,5.88,84,100
553,vila velha,BR,1605238400,-20.33,-40.29,77.0,5.82,78,75
554,evreux,FR,1605238401,49.02,1.15,50.0,8.05,93,90
555,marquette,US,1605238401,46.53,-87.63,33.01,6.31,92,100
556,besikduzu,TR,1605238401,41.05,39.23,55.4,12.75,54,40
557,brandon,US,1605238259,27.94,-82.29,75.99,4.23,88,90
558,valley city,US,1605238356,46.92,-98.0,10.4,4.7,85,1
559,port-gentil,GA,1605238402,-0.72,8.78,79.72,7.9,82,96
560,havelock,US,1605238402,34.88,-76.9,69.01,14.99,93,40
561,saint-georges,GD,1605238402,12.06,-61.75,80.6,6.93,83,20
562,paris,FR,1605237675,48.85,2.35,50.0,4.7,100,90
563,lyuban,BY,1605238403,52.8,28.0,38.26,8.48,81,100
564,honiara,SB,1605238273,-9.43,159.95,87.8,5.82,62,75
565,bileca,BA,1605238403,42.87,18.43,53.6,5.82,87,0
566,encheng,CN,1605238185,22.18,112.3,77.0,12.55,37,30
567,strezhevoy,RU,1605238403,60.73,77.59,19.4,2.24,85,75
568,port lincoln,AU,1605238404,-34.73,135.87,59.4,13.18,62,99
569,kemi,FI,1605238404,65.86,24.82,41.0,10.29,93,90
570,bafq,IR,1605238404,31.61,55.41,60.37,9.01,65,100
571,saint-joseph,RE,1605238405,-21.37,55.62,77.0,3.36,57,0
572,mackay,AU,1605238118,-21.15,149.2,86.0,16.11,55,40
